episode,timestep,reward
5,346,-0.3158
10,693,-0.3197
15,1099,-0.344
20,1459,-0.3226
25,1973,-0.371
30,2356,-0.3328
35,2688,-0.3109
40,3104,-0.3447
45,3491,-0.3364
50,4021,-0.3739
