episode,timestep,reward
10,3135,-0.2957
20,7006,-0.3207
30,10370,-0.2907
40,13361,-0.28
50,16267,-0.2685
60,19346,-0.284
70,22378,-0.2785
80,25409,-0.2813
90,28470,-0.2792
100,31688,-0.2856
110,35063,-0.2969
120,38473,-0.2998
130,41800,-0.2942
140,45108,-0.2925
150,48395,-0.2908
160,51531,-0.2782
170,54855,-0.2905
180,58240,-0.2952
190,61418,-0.2749
200,64578,-0.2778
210,67704,-0.2725
220,70807,-0.2735
230,74351,-0.3043
240,77694,-0.2836
250,80931,-0.2858
260,84038,-0.2771
270,87223,-0.2838
280,91416,-0.342
290,94821,-0.2979
300,97993,-0.2784
310,101040,-0.2712
320,104274,-0.2879
330,107613,-0.2972
340,110711,-0.2828
350,113955,-0.2935
360,116885,-0.2972
370,119983,-0.3003
380,123066,-0.2935
390,126440,-0.3083
400,129513,-0.296
